Sheet1$.F1,编号,企业名称,企业地址,企业类别,location,coordinates,X,Y
,734,湖州晨丰电气股份有限公司,浙江省湖州市德清县禹越镇欣业路198号,D,,,,
,736,德清车尔尼钢琴有限公司,浙江省湖州市德清县钟管镇龙山路120号,D,,,,
,739,德清宇顺织造有限公司,德清县新市镇城东路61号,D,,,,
,741,浙江成汉思创化工设备有限公司,浙江省湖州市德清县雷甸镇武林路13号3号厂房,D,,,,
,744,德清县三盈纺织品有限公司,浙江省湖州市德清县新市镇状元北路38号,D,,,,
,745,德清福宝办公家具有限公司,德清县雷甸镇和平村,D,,,,
,746,德清楚明装饰材料有限公司,德清县雷甸镇庆云路68、78、88、89号,D,,,,
,747,德清东新纺织品有限公司,浙江省湖州市德清县新市镇韶村村韶村大桥南堍,D,,,,
,754,德清县新市镇明瑞围巾厂,德清县新市镇厚皋村南坝34号,D,,,,
,757,德清丽晶纺织品有限公司,德清县新市镇梅林村,D,,,,
,759,德清县长盛金属制品有限公司,浙江省德清县新安镇勾里村,D,,,,
,760,德清泉盛装饰材料有限公司,浙江省湖州市德清县新市镇宋市村,D,,,,
,762,德清县高求粘合剂厂,德清县新安镇勾里村,D,,,,
,765,德清县金马摩擦材料厂,德清县雷甸镇解放村,D,,,,
,770,德清县润翔木业有限公司,浙江省德清县钟管镇工业园区,D,,,,
,771,德清县金丰油料有限公司,浙江省湖州市德清县雷甸镇解放村姚家湾46号,D,,,,
,773,湖州正合建材有限公司（曾用名：德清县天成树脂有限公司）,新市镇工业园区,D,,,,
,777,德清县三利线缆有限公司,浙江省新市镇高林路,D,,,,
,781,湖州心连心喷涂有限公司,浙江省德清县雷甸镇塘北村,D,,,,
,786,湖州兴峰进出口有限公司,浙江省德清县新市镇王公郎村,D,,,,
,791,浙江旻天金属制品有限公司,浙江省湖州市德清县雷甸镇明珠大道58号,D,,,,
,792,德清钡尔服饰有限公司,浙江省湖州市德清县新市镇工业园区,D,,,,
,793,浙江董萌智能科技有限公司（曾用名：德清县嘉润骨胶有限公司）,雷甸镇杨墩村,D,,,,
